Product_Code,W0,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,W23,W24,W25,W26,W27,W28,W29,W30,W31,W32,W33,W34,W35,W36,W37,W38,W39,W40,W41,W42,W43,W44,W45,W46,W47,W48,W49,W50,W51,MIN,MAX,Normalized 0,Normalized 1,Normalized 2,Normalized 3,Normalized 4,Normalized 5,Normalized 6,Normalized 7,Normalized 8,Normalized 9,Normalized 10,Normalized 11,Normalized 12,Normalized 13,Normalized 14,Normalized 15,Normalized 16,Normalized 17,Normalized 18,Normalized 19,Normalized 20,Normalized 21,Normalized 22,Normalized 23,Normalized 24,Normalized 25,Normalized 26,Normalized 27,Normalized 28,Normalized 29,Normalized 30,Normalized 31,Normalized 32,Normalized 33,Normalized 34,Normalized 35,Normalized 36,Normalized 37,Normalized 38,Normalized 39,Normalized 40,Normalized 41,Normalized 42,Normalized 43,Normalized 44,Normalized 45,Normalized 46,Normalized 47,Normalized 48,Normalized 49,Normalized 50,Normalized 51
Basa Fish - Fillet Family Pack,2,4,3,1,2,2,1,0,2,3,2,2,3,4,7,1,2,4,1,3,1,2,1,4,4,1,0,2,2,1,3,1,0,1,2,3,2,1,0,1,4,3,0,3,1,3,1,6,3,4,2,3,0,7,0.29,0.57,0.43,0.14,0.29,0.29,0.14,0,0.29,0.43,0.29,0.29,0.43,0.57,1,0.14,0.29,0.57,0.14,0.43,0.14,0.29,0.14,0.57,0.57,0.14,0,0.29,0.29,0.14,0.43,0.14,0,0.14,0.29,0.43,0.29,0.14,0,0.14,0.57,0.43,0,0.43,0.14,0.43,0.14,0.86,0.43,0.57,0.29,0.43
Baby Corn - Sweet & Sour,1,2,0,1,2,4,2,0,1,1,2,3,0,3,2,3,0,4,3,5,1,2,3,3,4,3,1,1,2,0,1,0,0,4,1,0,2,1,0,1,6,2,3,3,4,1,3,2,7,3,4,4,0,7,0.14,0.29,0,0.14,0.29,0.57,0.29,0,0.14,0.14,0.29,0.43,0,0.43,0.29,0.43,0,0.57,0.43,0.71,0.14,0.29,0.43,0.43,0.57,0.43,0.14,0.14,0.29,0,0.14,0,0,0.57,0.14,0,0.29,0.14,0,0.14,0.86,0.29,0.43,0.43,0.57,0.14,0.43,0.29,1,0.43,0.57,0.57
Kool - Badam,0,3,0,0,1,1,2,0,2,1,3,1,3,0,0,0,0,0,1,0,0,0,1,0,1,2,2,3,2,1,3,0,2,3,3,2,0,1,2,2,5,1,1,2,0,1,2,2,2,2,5,4,0,5,0,0.6,0,0,0.2,0.2,0.4,0,0.4,0.2,0.6,0.2,0.6,0,0,0,0,0,0.2,0,0,0,0.2,0,0.2,0.4,0.4,0.6,0.4,0.2,0.6,0,0.4,0.6,0.6,0.4,0,0.2,0.4,0.4,1,0.2,0.2,0.4,0,0.2,0.4,0.4,0.4,0.4,1,0.8
Creamy Crackers - Original,1,1,2,2,1,0,1,0,1,1,2,1,1,0,1,0,0,0,1,2,0,1,1,1,1,3,1,3,4,1,0,1,1,2,0,0,0,2,0,0,0,0,5,0,1,1,1,4,1,4,1,1,0,5,0.2,0.2,0.4,0.4,0.2,0,0.2,0,0.2,0.2,0.4,0.2,0.2,0,0.2,0,0,0,0.2,0.4,0,0.2,0.2,0.2,0.2,0.6,0.2,0.6,0.8,0.2,0,0.2,0.2,0.4,0,0,0,0.4,0,0,0,0,1,0,0.2,0.2,0.2,0.8,0.2,0.8,0.2,0.2
Dried - Cranberries 200G + Prunes 200G + Apricots  200G + Blueberries 150G,1,0,1,0,0,0,2,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,2,2,0,0,1,0,0,2,1,0,0,0,1,1,2,0,1,0,1,0,0,2,0,1,0,0,1,3,0,3,0.33,0,0.33,0,0,0,0.67,0,0.33,0,0.33,0.33,0,0,0,0,0,0,0.33,0,0,0,0,0.33,0.67,0.67,0,0,0.33,0,0,0.67,0.33,0,0,0,0.33,0.33,0.67,0,0.33,0,0.33,0,0,0.67,0,0.33,0,0,0.33,1
Milly Magic Chocolate Balls - Gluten Free,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,2,1,2,1,1,0,1,1,0,2,1,0,1,1,1,1,0,0,1,0,1,0,1,0,2,0,2,1,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0.5,1,0.5,0.5,0,0.5,0.5,0,1,0.5,0,0.5,0.5,0.5,0.5,0,0,0.5,0,0.5,0,0.5,0,1,0,1,0.5,0,0.5,0.5,0.5
Millet Based Nutrition Bar - Classic,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,1,1,0,1,2,0,1,1,2,0,2,2,2,0,1,0,3,0,1,1,0,0,0,2,0,0,0,1,0,2,0,0,3,0.33,0,0,0,0,0,0,0,0,0,0,0.67,0,0,0,0,0.33,0,0,0,0.33,0.33,0.33,0,0.33,0.67,0,0.33,0.33,0.67,0,0.67,0.67,0.67,0,0.33,0,1,0,0.33,0.33,0,0,0,0.67,0,0,0,0.33,0,0.67,0
"Bathroom Cleaner - Liquid, Hand Made",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,1,1,2,0,0,0,2,0,0,0,0,1,1,1,1,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0.5,0,0,0.5,0,0.5,0,0.5,0,0.5,0.5,1,0,0,0,1,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Kodo Millet Rice - Pesticide Free,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,2,0,0,0,0,1,0,0,0,1,0,0,2,0,0.5,0,0,0,0,0.5,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0.5,1,0,0,0,0,0.5,0,0,0,0.5,0
Amla Juice,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,1
Cheddar - English,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Power - Fresh Breath Fluoride Toothpaste 100 g + Sensitive Toothpaste 80 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Matcha Moringa Bar Bites - Mini, Gluten-free, Vegan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Sugar Free Juice - Lemon Ginger Squash,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,2,1,2,0,2,0.5,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0.5,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0.5,0,1,0.5,1
Wipeout Germ Killing Soap,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Jelly Crystal - Raspberry,5,3,0,1,9,5,10,5,0,6,3,2,2,2,4,4,4,4,2,6,2,5,2,1,5,5,3,1,4,1,2,3,0,1,1,2,2,4,3,2,4,0,6,4,1,2,3,2,1,5,4,9,0,10,0.5,0.3,0,0.1,0.9,0.5,1,0.5,0,0.6,0.3,0.2,0.2,0.2,0.4,0.4,0.4,0.4,0.2,0.6,0.2,0.5,0.2,0.1,0.5,0.5,0.3,0.1,0.4,0.1,0.2,0.3,0,0.1,0.1,0.2,0.2,0.4,0.3,0.2,0.4,0,0.6,0.4,0.1,0.2,0.3,0.2,0.1,0.5,0.4,0.9
Black Tea,5,2,1,1,1,2,4,3,1,1,2,9,1,4,4,6,4,1,3,3,2,3,4,8,5,7,3,2,2,0,5,2,5,3,3,0,3,0,1,5,5,3,4,1,2,3,1,0,1,3,5,4,0,9,0.56,0.22,0.11,0.11,0.11,0.22,0.44,0.33,0.11,0.11,0.22,1,0.11,0.44,0.44,0.67,0.44,0.11,0.33,0.33,0.22,0.33,0.44,0.89,0.56,0.78,0.33,0.22,0.22,0,0.56,0.22,0.56,0.33,0.33,0,0.33,0,0.11,0.56,0.56,0.33,0.44,0.11,0.22,0.33,0.11,0,0.11,0.33,0.56,0.44
Grainy Delight,2,3,4,4,0,1,0,0,2,1,0,1,2,3,4,3,2,3,4,2,2,5,7,1,4,4,1,4,2,2,1,4,3,2,5,2,0,2,0,2,3,1,3,3,3,4,3,3,1,1,5,5,0,7,0.29,0.43,0.57,0.57,0,0.14,0,0,0.29,0.14,0,0.14,0.29,0.43,0.57,0.43,0.29,0.43,0.57,0.29,0.29,0.71,1,0.14,0.57,0.57,0.14,0.57,0.29,0.29,0.14,0.57,0.43,0.29,0.71,0.29,0,0.29,0,0.29,0.43,0.14,0.43,0.43,0.43,0.57,0.43,0.43,0.14,0.14,0.71,0.71
"Kitchen Cleaning/Dusting Microfibre Cloth - Grey, G130060GR",4,4,3,2,3,1,3,5,3,6,0,5,0,3,3,3,1,3,2,2,4,4,7,3,5,3,3,2,1,2,0,3,2,0,0,4,2,0,3,3,1,4,2,2,3,4,3,1,4,5,1,2,0,7,0.57,0.57,0.43,0.29,0.43,0.14,0.43,0.71,0.43,0.86,0,0.71,0,0.43,0.43,0.43,0.14,0.43,0.29,0.29,0.57,0.57,1,0.43,0.71,0.43,0.43,0.29,0.14,0.29,0,0.43,0.29,0,0,0.57,0.29,0,0.43,0.43,0.14,0.57,0.29,0.29,0.43,0.57,0.43,0.14,0.57,0.71,0.14,0.29
Amla Churna,0,1,0,4,3,0,4,1,4,3,0,3,1,3,1,7,2,3,3,5,3,3,3,3,4,5,3,2,2,1,2,5,0,2,0,2,0,3,2,2,1,3,2,2,5,2,6,4,2,2,2,9,0,9,0,0.11,0,0.44,0.33,0,0.44,0.11,0.44,0.33,0,0.33,0.11,0.33,0.11,0.78,0.22,0.33,0.33,0.56,0.33,0.33,0.33,0.33,0.44,0.56,0.33,0.22,0.22,0.11,0.22,0.56,0,0.22,0,0.22,0,0.33,0.22,0.22,0.11,0.33,0.22,0.22,0.56,0.22,0.67,0.44,0.22,0.22,0.22,1
Professional Herbal Orange Facial Massage Cream,3,3,7,5,5,4,4,4,7,8,4,2,4,1,4,7,4,4,6,5,8,10,8,2,11,5,4,3,3,7,3,7,5,3,4,6,8,6,7,8,2,3,6,3,3,4,6,7,7,10,9,10,1,11,0.2,0.2,0.6,0.4,0.4,0.3,0.3,0.3,0.6,0.7,0.3,0.1,0.3,0,0.3,0.6,0.3,0.3,0.5,0.4,0.7,0.9,0.7,0.1,1,0.4,0.3,0.2,0.2,0.6,0.2,0.6,0.4,0.2,0.3,0.5,0.7,0.5,0.6,0.7,0.1,0.2,0.5,0.2,0.2,0.3,0.5,0.6,0.6,0.9,0.8,0.9
Eggless Mayonnaise Dip,1,0,1,0,2,2,1,0,1,1,0,0,0,2,4,0,1,1,1,0,0,2,0,2,0,2,2,2,0,2,1,3,2,1,3,0,1,1,1,1,1,2,0,0,4,1,1,1,3,4,4,5,0,5,0.2,0,0.2,0,0.4,0.4,0.2,0,0.2,0.2,0,0,0,0.4,0.8,0,0.2,0.2,0.2,0,0,0.4,0,0.4,0,0.4,0.4,0.4,0,0.4,0.2,0.6,0.4,0.2,0.6,0,0.2,0.2,0.2,0.2,0.2,0.4,0,0,0.8,0.2,0.2,0.2,0.6,0.8,0.8,1
Nilgiri Green Tea - Yakuso Tulsi,1,4,2,9,1,2,2,3,1,5,1,3,3,2,2,2,4,5,1,0,7,3,2,0,1,2,1,2,3,1,4,2,3,2,2,1,1,1,2,0,2,6,2,1,2,0,4,8,1,3,2,6,0,9,0.11,0.44,0.22,1,0.11,0.22,0.22,0.33,0.11,0.56,0.11,0.33,0.33,0.22,0.22,0.22,0.44,0.56,0.11,0,0.78,0.33,0.22,0,0.11,0.22,0.11,0.22,0.33,0.11,0.44,0.22,0.33,0.22,0.22,0.11,0.11,0.11,0.22,0,0.22,0.67,0.22,0.11,0.22,0,0.44,0.89,0.11,0.33,0.22,0.67
"Peri Peri Sauce - Bird Eye Chili, Hot & Tangy",1,1,0,2,2,0,1,5,1,3,1,2,0,6,1,3,2,0,2,2,2,3,8,5,5,2,3,4,0,3,2,3,0,1,4,2,1,3,1,1,0,3,1,1,4,4,3,3,4,2,6,3,0,8,0.13,0.13,0,0.25,0.25,0,0.13,0.63,0.13,0.38,0.13,0.25,0,0.75,0.13,0.38,0.25,0,0.25,0.25,0.25,0.38,1,0.63,0.63,0.25,0.38,0.5,0,0.38,0.25,0.38,0,0.13,0.5,0.25,0.13,0.38,0.13,0.13,0,0.38,0.13,0.13,0.5,0.5,0.38,0.38,0.5,0.25,0.75,0.38
"Menstrual Cup - Wings, Pratham",0,1,1,4,3,1,0,2,4,1,6,2,1,0,1,0,1,3,6,5,1,1,3,3,3,6,2,1,2,0,3,0,3,2,1,3,2,2,2,4,3,3,2,6,2,5,2,4,2,2,0,5,0,6,0,0.17,0.17,0.67,0.5,0.17,0,0.33,0.67,0.17,1,0.33,0.17,0,0.17,0,0.17,0.5,1,0.83,0.17,0.17,0.5,0.5,0.5,1,0.33,0.17,0.33,0,0.5,0,0.5,0.33,0.17,0.5,0.33,0.33,0.33,0.67,0.5,0.5,0.33,1,0.33,0.83,0.33,0.67,0.33,0.33,0,0.83
Wonderz Milk Fruit N Milk - Mango,10,7,8,13,7,10,12,11,11,8,7,11,6,16,12,8,10,16,17,9,17,12,11,13,18,20,6,5,5,12,4,8,7,4,9,5,9,6,12,7,9,14,9,9,5,12,7,6,5,13,3,11,3,20,0.41,0.24,0.29,0.59,0.24,0.41,0.53,0.47,0.47,0.29,0.24,0.47,0.18,0.76,0.53,0.29,0.41,0.76,0.82,0.35,0.82,0.53,0.47,0.59,0.88,1,0.18,0.12,0.12,0.53,0.06,0.29,0.24,0.06,0.35,0.12,0.35,0.18,0.53,0.24,0.35,0.65,0.35,0.35,0.12,0.53,0.24,0.18,0.12,0.59,0,0.47
Cow Ghee/Tuppa,14,12,10,8,14,8,11,14,11,11,10,11,14,12,9,16,11,13,21,16,12,15,13,20,20,21,10,7,11,6,8,14,13,6,13,7,12,9,7,5,7,17,13,6,4,10,15,20,11,14,14,18,4,21,0.59,0.47,0.35,0.24,0.59,0.24,0.41,0.59,0.41,0.41,0.35,0.41,0.59,0.47,0.29,0.71,0.41,0.53,1,0.71,0.47,0.65,0.53,0.94,0.94,1,0.35,0.18,0.41,0.12,0.24,0.59,0.53,0.12,0.53,0.18,0.47,0.29,0.18,0.06,0.18,0.76,0.53,0.12,0,0.35,0.65,0.94,0.41,0.59,0.59,0.82
"Organic - Black Cardamom Ealachi, Whole",17,11,8,9,8,5,18,15,12,21,15,10,13,13,15,14,6,11,18,12,17,21,16,16,26,20,11,11,6,5,8,7,9,10,8,15,9,7,14,14,7,14,6,13,14,13,11,16,10,14,18,23,5,26,0.57,0.29,0.14,0.19,0.14,0,0.62,0.48,0.33,0.76,0.48,0.24,0.38,0.38,0.48,0.43,0.05,0.29,0.62,0.33,0.57,0.76,0.52,0.52,1,0.71,0.29,0.29,0.05,0,0.14,0.1,0.19,0.24,0.14,0.48,0.19,0.1,0.43,0.43,0.1,0.43,0.05,0.38,0.43,0.38,0.29,0.52,0.24,0.43,0.62,0.86
Ultimate Choco Berry,20,11,19,16,22,20,15,11,12,20,8,11,11,13,14,17,14,23,10,26,10,24,29,28,25,31,6,6,8,15,7,12,9,9,12,10,9,11,15,17,22,13,23,9,18,19,13,21,12,19,24,19,6,31,0.56,0.2,0.52,0.4,0.64,0.56,0.36,0.2,0.24,0.56,0.08,0.2,0.2,0.28,0.32,0.44,0.32,0.68,0.16,0.8,0.16,0.72,0.92,0.88,0.76,1,0,0,0.08,0.36,0.04,0.24,0.12,0.12,0.24,0.16,0.12,0.2,0.36,0.44,0.64,0.28,0.68,0.12,0.48,0.52,0.28,0.6,0.24,0.52,0.72,0.52
Steel Belly Shape Storage Dabba/ Container Set With PP Lid - Silver & Blue,3,5,5,7,2,2,6,5,7,3,5,4,4,4,1,2,2,4,5,10,1,4,5,5,4,3,5,0,4,2,1,1,4,2,8,2,4,4,1,4,3,3,6,2,2,2,5,0,9,6,1,9,0,10,0.3,0.5,0.5,0.7,0.2,0.2,0.6,0.5,0.7,0.3,0.5,0.4,0.4,0.4,0.1,0.2,0.2,0.4,0.5,1,0.1,0.4,0.5,0.5,0.4,0.3,0.5,0,0.4,0.2,0.1,0.1,0.4,0.2,0.8,0.2,0.4,0.4,0.1,0.4,0.3,0.3,0.6,0.2,0.2,0.2,0.5,0,0.9,0.6,0.1,0.9
Kool - Koko,1,0,6,0,3,4,4,1,4,4,1,6,0,4,9,3,2,4,4,5,4,4,4,6,3,4,4,1,3,1,2,7,1,8,3,6,6,2,1,1,4,2,2,1,1,4,2,4,7,3,4,0,0,9,0.11,0,0.67,0,0.33,0.44,0.44,0.11,0.44,0.44,0.11,0.67,0,0.44,1,0.33,0.22,0.44,0.44,0.56,0.44,0.44,0.44,0.67,0.33,0.44,0.44,0.11,0.33,0.11,0.22,0.78,0.11,0.89,0.33,0.67,0.67,0.22,0.11,0.11,0.44,0.22,0.22,0.11,0.11,0.44,0.22,0.44,0.78,0.33,0.44,0
"Apple Cider Vinegar - With Mother, Unfiltered & Unpasteurized",12,8,12,9,12,18,17,18,17,14,13,20,17,20,21,9,17,13,21,14,28,25,15,23,22,18,15,15,10,8,17,16,13,15,13,12,14,12,18,14,15,17,12,12,7,12,17,18,24,16,23,25,7,28,0.24,0.05,0.24,0.1,0.24,0.52,0.48,0.52,0.48,0.33,0.29,0.62,0.48,0.62,0.67,0.1,0.48,0.29,0.67,0.33,1,0.86,0.38,0.76,0.71,0.52,0.38,0.38,0.14,0.05,0.48,0.43,0.29,0.38,0.29,0.24,0.33,0.24,0.52,0.33,0.38,0.48,0.24,0.24,0,0.24,0.48,0.52,0.81,0.43,0.76,0.86
Dare Deodorant Spray - Men,11,8,7,9,11,6,10,13,8,11,18,7,10,6,10,9,8,7,7,6,10,14,11,14,17,14,10,6,9,4,6,12,7,6,5,13,3,5,11,9,6,7,5,5,7,6,7,12,8,14,14,13,3,18,0.53,0.33,0.27,0.4,0.53,0.2,0.47,0.67,0.33,0.53,1,0.27,0.47,0.2,0.47,0.4,0.33,0.27,0.27,0.2,0.47,0.73,0.53,0.73,0.93,0.73,0.47,0.2,0.4,0.07,0.2,0.6,0.27,0.2,0.13,0.67,0,0.13,0.53,0.4,0.2,0.27,0.13,0.13,0.27,0.2,0.27,0.6,0.33,0.73,0.73,0.67
Svachh DLX Alpha Steel Outer Lid Pressure Cooker (20247),23,12,16,22,18,18,17,11,28,10,25,24,22,25,12,17,16,33,20,16,20,20,25,24,32,35,13,12,11,10,11,6,10,18,19,19,13,16,11,13,24,15,18,24,14,18,18,13,23,22,23,31,6,35,0.59,0.21,0.34,0.55,0.41,0.41,0.38,0.17,0.76,0.14,0.66,0.62,0.55,0.66,0.21,0.38,0.34,0.93,0.48,0.34,0.48,0.48,0.66,0.62,0.9,1,0.24,0.21,0.17,0.14,0.17,0,0.14,0.41,0.45,0.45,0.24,0.34,0.17,0.24,0.62,0.31,0.41,0.62,0.28,0.41,0.41,0.24,0.59,0.55,0.59,0.86
Hydrating Body Lotion,6,12,17,15,14,18,11,17,14,12,13,11,20,6,15,15,14,10,18,20,15,16,11,18,18,29,10,5,5,7,11,8,11,7,14,8,12,8,9,14,13,14,16,10,17,11,16,12,11,17,16,24,5,29,0.04,0.29,0.5,0.42,0.38,0.54,0.25,0.5,0.38,0.29,0.33,0.25,0.63,0.04,0.42,0.42,0.38,0.21,0.54,0.63,0.42,0.46,0.25,0.54,0.54,1,0.21,0,0,0.08,0.25,0.13,0.25,0.08,0.38,0.13,0.29,0.13,0.17,0.38,0.33,0.38,0.46,0.21,0.5,0.25,0.46,0.29,0.25,0.5,0.46,0.79
Nuts & Seeds Bar,22,23,10,19,16,26,19,16,23,23,23,17,31,19,18,17,16,26,18,19,23,24,24,18,25,16,16,9,11,20,19,10,13,23,9,17,15,18,21,13,15,25,16,20,12,16,13,13,20,17,27,19,9,31,0.59,0.64,0.05,0.45,0.32,0.77,0.45,0.32,0.64,0.64,0.64,0.36,1,0.45,0.41,0.36,0.32,0.77,0.41,0.45,0.64,0.68,0.68,0.41,0.73,0.32,0.32,0,0.09,0.5,0.45,0.05,0.18,0.64,0,0.36,0.27,0.41,0.55,0.18,0.27,0.73,0.32,0.5,0.14,0.32,0.18,0.18,0.5,0.36,0.82,0.45
"Nacho Chips - Cheese With Herbs, No Onion, No Garlic",7,10,8,9,13,8,10,12,16,16,6,11,11,12,16,11,15,10,21,7,19,7,13,20,23,18,9,12,6,10,4,14,10,8,14,10,5,7,7,13,10,13,14,14,11,10,14,16,14,16,14,21,4,23,0.16,0.32,0.21,0.26,0.47,0.21,0.32,0.42,0.63,0.63,0.11,0.37,0.37,0.42,0.63,0.37,0.58,0.32,0.89,0.16,0.79,0.16,0.47,0.84,1,0.74,0.26,0.42,0.11,0.32,0,0.53,0.32,0.21,0.53,0.32,0.05,0.16,0.16,0.47,0.32,0.47,0.53,0.53,0.37,0.32,0.53,0.63,0.53,0.63,0.53,0.89
Pistachio,42,48,38,43,35,39,36,38,49,46,44,25,43,38,34,48,52,67,52,45,64,49,48,72,64,64,30,25,43,23,29,30,31,28,34,34,36,47,24,35,47,34,46,41,34,39,44,46,46,41,57,73,23,73,0.38,0.5,0.3,0.4,0.24,0.32,0.26,0.3,0.52,0.46,0.42,0.04,0.4,0.3,0.22,0.5,0.58,0.88,0.58,0.44,0.82,0.52,0.5,0.98,0.82,0.82,0.14,0.04,0.4,0,0.12,0.14,0.16,0.1,0.22,0.22,0.26,0.48,0.02,0.24,0.48,0.22,0.46,0.36,0.22,0.32,0.42,0.46,0.46,0.36,0.68,1
7 O Click - Permasharp Stainless Blade,6,13,16,9,18,16,16,12,22,15,18,16,15,15,12,18,19,32,18,27,25,23,19,20,27,21,8,11,9,12,11,11,8,17,20,6,10,16,16,13,10,19,17,14,13,19,19,20,22,22,18,31,6,32,0,0.27,0.38,0.12,0.46,0.38,0.38,0.23,0.62,0.35,0.46,0.38,0.35,0.35,0.23,0.46,0.5,1,0.46,0.81,0.73,0.65,0.5,0.54,0.81,0.58,0.08,0.19,0.12,0.23,0.19,0.19,0.08,0.42,0.54,0,0.15,0.38,0.38,0.27,0.15,0.5,0.42,0.31,0.27,0.5,0.5,0.54,0.62,0.62,0.46,0.96
Classic Sandalwood & Tulsi Hand Wash,16,17,12,10,23,14,23,15,14,18,17,18,11,16,15,18,23,22,23,13,23,22,24,35,23,24,13,18,13,11,17,18,9,10,14,11,14,13,15,18,16,12,19,12,10,18,11,18,21,19,24,22,9,35,0.27,0.31,0.12,0.04,0.54,0.19,0.54,0.23,0.19,0.35,0.31,0.35,0.08,0.27,0.23,0.35,0.54,0.5,0.54,0.15,0.54,0.5,0.58,1,0.54,0.58,0.15,0.35,0.15,0.08,0.31,0.35,0,0.04,0.19,0.08,0.19,0.15,0.23,0.35,0.27,0.12,0.38,0.12,0.04,0.35,0.08,0.35,0.46,0.38,0.58,0.5
Chai/Stainless Steel Cups - For The Love Of Tea,4,2,4,8,5,3,2,1,1,5,2,2,6,4,5,6,4,6,2,1,3,5,3,3,6,5,2,1,3,6,4,5,1,3,2,2,3,3,4,2,1,7,4,1,5,4,3,6,3,2,3,4,1,8,0.43,0.14,0.43,1,0.57,0.29,0.14,0,0,0.57,0.14,0.14,0.71,0.43,0.57,0.71,0.43,0.71,0.14,0,0.29,0.57,0.29,0.29,0.71,0.57,0.14,0,0.29,0.71,0.43,0.57,0,0.29,0.14,0.14,0.29,0.29,0.43,0.14,0,0.86,0.43,0,0.57,0.43,0.29,0.71,0.29,0.14,0.29,0.43
Brass Karpoor Arti - No.2,4,6,8,7,12,11,10,6,7,4,9,9,12,9,10,14,12,9,12,12,12,10,18,13,12,13,2,3,5,2,11,5,3,1,11,9,8,8,9,9,12,3,6,12,5,8,11,11,11,17,17,16,1,18,0.18,0.29,0.41,0.35,0.65,0.59,0.53,0.29,0.35,0.18,0.47,0.47,0.65,0.47,0.53,0.76,0.65,0.47,0.65,0.65,0.65,0.53,1,0.71,0.65,0.71,0.06,0.12,0.24,0.06,0.59,0.24,0.12,0,0.59,0.47,0.41,0.41,0.47,0.47,0.65,0.12,0.29,0.65,0.24,0.41,0.59,0.59,0.59,0.94,0.94,0.88
Nikhaar Hair Removal Cream For All Skin Types,2,2,1,1,5,2,7,3,5,4,6,3,3,2,5,2,3,4,1,3,3,4,1,2,9,8,1,6,1,2,0,2,4,2,4,3,2,4,3,2,7,2,3,2,2,2,7,5,2,1,1,6,0,9,0.22,0.22,0.11,0.11,0.56,0.22,0.78,0.33,0.56,0.44,0.67,0.33,0.33,0.22,0.56,0.22,0.33,0.44,0.11,0.33,0.33,0.44,0.11,0.22,1,0.89,0.11,0.67,0.11,0.22,0,0.22,0.44,0.22,0.44,0.33,0.22,0.44,0.33,0.22,0.78,0.22,0.33,0.22,0.22,0.22,0.78,0.56,0.22,0.11,0.11,0.67
Original Care Lip Balm For 24h Moisture With Shea Butter & Natural Oils,2,4,2,3,6,7,3,7,6,3,2,3,6,4,7,1,4,6,7,4,4,2,3,3,6,3,1,5,5,6,0,2,6,4,1,4,1,1,2,0,2,2,2,3,4,2,0,2,1,3,5,4,0,7,0.29,0.57,0.29,0.43,0.86,1,0.43,1,0.86,0.43,0.29,0.43,0.86,0.57,1,0.14,0.57,0.86,1,0.57,0.57,0.29,0.43,0.43,0.86,0.43,0.14,0.71,0.71,0.86,0,0.29,0.86,0.57,0.14,0.57,0.14,0.14,0.29,0,0.29,0.29,0.29,0.43,0.57,0.29,0,0.29,0.14,0.43,0.71,0.57
